"","Phenotype","Chr","qtl_type","Pos_bp","Lod","Status","Gene","Gene_chr","Gene_start","Gene_end","mash_protein","abs_pos","is_mash","mouse_tau"
"1","Them7","2","cis",105386084,77.1961230549026,"Significant_001","Them7","2",105224342,105379860,NA,307858055,FALSE,-0.107960997194201
"2","Them7","2","trans",104112239,77.1961229825722,"Significant_001","Them7","2",105224342,105379860,NA,306584210,FALSE,-0.107960997194201
"3","Aco1","4","cis",40695079,76.2262130276388,"Significant_001","Aco1","4",40143265,40199009,NA,599319954,FALSE,0.0922028635501121
"4","Aco1","4","trans",41658890,76.2262124056876,"Significant_001","Aco1","4",40143265,40199009,NA,600283765,FALSE,0.0922028635501121
"5","BC021614","19",NA,4012700,72.5339556473561,"Significant_001","BC021614",NA,NA,NA,NA,2531326507,FALSE,0.00441317556763671
"6","Ces2h","8","cis",104837386,71.0278181158554,"Significant_001","Ces2h","8",105000830,105020410,NA,1294983066,FALSE,-0.0275523325674052
"7","Rpn2__1","2","cis",158116459,69.4573568400093,"Significant_001","Rpn2","2",157279098,157326318,NA,360588430,FALSE,-0.0380083057528933
"8","Uox__2","3","cis",146465323,69.384820380234,"Significant_001","Uox","3",146597149,146631483,NA,538050518,FALSE,-0.046075145280407
"9","Aldh1b1__1","4","cis",46033064,68.4423993527232,"Significant_001","Aldh1b1","4",45799022,45804608,NA,604657939,FALSE,-0.0931410783425034
"10","Ybx1__1","4","cis",119195421,67.5209377040142,"Significant_001","Ybx1","4",119277327,119296265,NA,677820296,FALSE,-0.0475788941121909
"11","Ybx1__1","4","trans",123432589,67.4583048114916,"Significant_001","Ybx1","4",119277327,119296265,NA,682057464,FALSE,-0.0475788941121909
"12","Uox__2","3","trans",145576252,66.5021546055634,"Significant_001","Uox","3",146597149,146631483,NA,537161447,FALSE,-0.046075145280407
"13","Acaa2__1","18","cis",74805805,66.4499713673689,"Significant_001","Acaa2","18",74779212,74806207,NA,2504416973,FALSE,-0.147725755563519
"14","Ces2h","8","trans",106010933,65.9203975508891,"Significant_001","Ces2h","8",105000830,105020410,NA,1296156613,FALSE,-0.0275523325674052
"15","Cyp2j5","4","cis",96307385,65.8019091853594,"Significant_001","Cyp2j5","4",96627432,96664171,NA,654932260,FALSE,0.0919324577861163
"16","Cyp2j5","4","trans",94460686,65.7391003689061,"Significant_001","Cyp2j5","4",96627432,96664171,NA,653085561,FALSE,0.0919324577861163
"17","Cobll1__3","2","trans",66252203,64.4759041927648,"Significant_001","Cobll1","2",65088339,65239398,NA,268724174,FALSE,-0.184855703353922
"18","Cobll1__3","2","cis",65239762,64.4759029477533,"Significant_001","Cobll1","2",65088339,65239398,NA,267711733,FALSE,-0.184855703353922
"19","Rpn2__1","2","trans",155225922,64.0744003247477,"Significant_001","Rpn2","2",157279098,157326318,NA,357697893,FALSE,-0.0380083057528933
"20","Ptgr1__1","4","cis",58504688,63.3288362533439,"Significant_001","Ptgr1","4",58965590,58987131,NA,617129563,FALSE,0.0839100916221739
"21","Aldh1b1__1","4","trans",44126547,63.2385118146931,"Significant_001","Aldh1b1","4",45799022,45804608,NA,602751422,FALSE,-0.0931410783425034
"22","Tkfc__1","19","trans",8920690,62.7919050283613,"Significant_001","Tkfc","19",10592197,10605482,NA,2536234497,FALSE,0.161259495049575
"23","Tkfc__1","19","cis",10059938,62.3236252592961,"Significant_001","Tkfc","19",10592197,10605482,NA,2537373745,FALSE,0.161259495049575
"24","Inmt","6","cis",55336470,61.7992134243716,"Significant_001","Inmt","6",55170627,55174990,NA,936304145,FALSE,-0.0506847678675577
"25","Ptgr1__1","4","trans",57943944,61.0859113782871,"Significant_001","Ptgr1","4",58965590,58987131,NA,616568819,FALSE,0.0839100916221739
