"","Phenotype","Chr","qtl_type","Pos_bp","Lod","Status","Gene","Gene_chr","Gene_start","Gene_end","mash_protein","abs_pos","is_mash","mouse_tau"
"1","Acaa2__1","18","cis",73878097,90.7234619450786,"Significant_001","Acaa2","18",74779212,74806207,NA,2503489265,FALSE,-0.147725755563519
"2","Acaa2__1","18","trans",73704183,90.6567644504053,"Significant_001","Acaa2","18",74779212,74806207,NA,2503315351,FALSE,-0.147725755563519
"3","Paox","7","cis",139979148,80.6812662292604,"Significant_001","Paox","7",140115735,140134334,NA,1177683369,FALSE,-0.0113483848753786
"4","Ces1b","8","cis",93079477,79.4706917371125,"Significant_001","Ces1b","8",93056725,93080017,NA,1283225157,FALSE,-0.0241653842640414
"5","Paox","7","trans",141151769,77.7944765390609,"Significant_001","Paox","7",140115735,140134334,NA,1178855990,FALSE,-0.0113483848753786
"6","Ces1b","8","trans",94067675,76.9641059427259,"Significant_001","Ces1b","8",93056725,93080017,NA,1284213355,FALSE,-0.0241653842640414
"7","unknow_214","15",NA,82759901,75.4283460110071,"Significant_001","unknow_214",NA,NA,NA,NA,2194132345,FALSE,-0.0228571428571429
"8","Cyp46a1","12","cis",108186399,74.5518292364336,"Significant_001","Cyp46a1","12",108334268,108362234,NA,1833105938,FALSE,-0.102190110634455
"9","Cyp2d34","15","cis",82997878,72.6035584977714,"Significant_001","Cyp2d34","15",82615963,82620956,NA,2194370322,FALSE,0.0161208213134227
"10","Tkfc__1","19","cis",10182907,72.1672059572356,"Significant_001","Tkfc","19",10592197,10605482,NA,2537496714,FALSE,0.161259495049575
"11","Tkfc__1","19","trans",9110836,71.0658785798012,"Significant_001","Tkfc","19",10592197,10605482,NA,2536424643,FALSE,0.161259495049575
"12","Pccb__1","9","cis",100458680,69.9802982107266,"Significant_001","Pccb","9",100982032,101034940,NA,1427005573,FALSE,-0.155666111544434
"13","Fpgt","3","cis",155093617,69.643763512062,"Significant_001","Fpgt","3",155084915,155093387,NA,546678812,FALSE,0.0987087517934003
"14","Upb1__1","10","cis",75125100,68.9076427782017,"Significant_001","Upb1","10",75406911,75441679,NA,1533267103,FALSE,-0.0621088479085009
"15","Aldh1l1__1","6","cis",90307794,68.5909779045439,"Significant_001","Aldh1l1","6",90550768,90599171,NA,971275469,FALSE,0.0124867367947664
"16","Aldh1l1__1","6","trans",89467434,68.5909779042968,"Significant_001","Aldh1l1","6",90550768,90599171,NA,970435109,FALSE,0.0124867367947664
"17","Cyp2j5","4","cis",96634208,68.0043283748737,"Significant_001","Cyp2j5","4",96627432,96664171,NA,655259083,FALSE,0.0919324577861163
"18","BC021614","19",NA,4396954,67.8081761614182,"Significant_001","BC021614",NA,NA,NA,NA,2531710761,FALSE,0.00441317556763671
"19","Cyp46a1","12","trans",106491886,67.2791164436636,"Significant_001","Cyp46a1","12",108334268,108362234,NA,1831411425,FALSE,-0.102190110634455
"20","Cpne3__1","4","cis",19890835,67.1449517848044,"Significant_001","Cpne3","4",19519252,19570108,NA,578515710,FALSE,-0.0298430901335807
"21","Aldh7a1__2","18","cis",56428709,67.0530546775791,"Significant_001","Aldh7a1","18",56524722,56572991,NA,2486039877,FALSE,-0.0368699538335055
"22","Cyp2j5","4","trans",97783375,66.8591187410995,"Significant_001","Cyp2j5","4",96627432,96664171,NA,656408250,FALSE,0.0919324577861163
"23","Uox__2","3","cis",146504182,66.6211799402146,"Significant_001","Uox","3",146597149,146631483,NA,538089377,FALSE,-0.046075145280407
"24","Cyp2d34","15","trans",84188665,66.5623260420329,"Significant_001","Cyp2d34","15",82615963,82620956,NA,2195561109,FALSE,0.0161208213134227
"25","Upb1__1","10","trans",72674693,65.6875804626212,"Significant_001","Upb1","10",75406911,75441679,NA,1530816696,FALSE,-0.0621088479085009
"26","unknow_26","12",NA,72095843,65.345743653538,"Significant_001","unknow_26",NA,NA,NA,NA,1797015382,FALSE,-0.0847150214739148
"27","Ugt3a2","15","trans",10493337,64.8910284265731,"Significant_001","Ugt3a2","15",9335551,9370955,NA,2121865781,FALSE,-0.0135267126223553
"28","Ugt3a2","15","cis",10177666,64.8910282603922,"Significant_001","Ugt3a2","15",9335551,9370955,NA,2121550110,FALSE,-0.0135267126223553
"29","Ces1c","8","trans",91668301,64.8440340912551,"Significant_001","Ces1c","8",93099015,93131283,NA,1281813981,FALSE,-0.046680124563792
"30","Ces1c","8","cis",92359644,64.7632199396691,"Significant_001","Ces1c","8",93099015,93131283,NA,1282505324,FALSE,-0.046680124563792
"31","Fbln1__1","10","trans",62304840,64.4956234287279,"Significant_001","Fbln1","15",85205949,85286294,NA,1520446843,FALSE,0.255667310866284
"32","Acaa1b__1","9","trans",121495626,63.9872579045062,"Significant_001","Acaa1b","9",119148043,119157093,NA,1448042519,FALSE,0.0796213925838481
"33","Acaa1b__1","9","cis",119322173,63.9176924418082,"Significant_001","Acaa1b","9",119148043,119157093,NA,1445869066,FALSE,0.0796213925838481
"34","Rpl14__1","9","cis",120492577,63.8034552958425,"Significant_001","Rpl14","9",120571517,120574653,NA,1447039470,FALSE,0.0920027264231156
"35","Rpl14__1","9","trans",119193121,63.7387045356119,"Significant_001","Rpl14","9",120571517,120574653,NA,1445740014,FALSE,0.0920027264231156
"36","Vwa8__1","14","trans",77824026,63.5721875740308,"Significant_001","Vwa8","14",78849058,79202310,NA,2057294226,FALSE,-0.144521505716354
"37","Vwa8__1","14","cis",78002197,63.5721875196056,"Significant_001","Vwa8","14",78849058,79202310,NA,2057472397,FALSE,-0.144521505716354
"38","Pccb__1","9","trans",102041085,63.4011999635268,"Significant_001","Pccb","9",100982032,101034940,NA,1428587978,FALSE,-0.155666111544434
"39","Ces2h","8","cis",104340802,62.8126757644715,"Significant_001","Ces2h","8",105000830,105020410,NA,1294486482,FALSE,-0.0275523325674052
"40","Uox__2","3","trans",145135647,62.7407413202562,"Significant_001","Uox","3",146597149,146631483,NA,536720842,FALSE,-0.046075145280407
"41","H2-T23","17","trans",33747743,62.5020400100957,"Significant_001","H2-T23","17",36029977,36032701,NA,2361371640,FALSE,0.00417275828460039
"42","Aldh1b1__1","4","cis",46450763,62.2716004500046,"Significant_001","Aldh1b1","4",45799022,45804608,NA,605075638,FALSE,-0.0931410783425034
"43","Aldh1b1__1","4","trans",46877417,62.2241150060648,"Significant_001","Aldh1b1","4",45799022,45804608,NA,605502292,FALSE,-0.0931410783425034
"44","Agl__1","3","cis",116508008,61.9405465674359,"Significant_001","Agl","3",116739999,116808166,NA,508093203,FALSE,-0.253395731882989
"45","Gm20390__1","11",NA,93885649,61.4191335697491,"Significant_001","Gm20390",NA,NA,NA,NA,1689722645,FALSE,0.0743090836267049
"46","Aldh7a1__2","18","trans",57898072,61.2080989671282,"Significant_001","Aldh7a1","18",56524722,56572991,NA,2487509240,FALSE,-0.0368699538335055
"47","Ybx1__1","4","trans",123001201,61.0003300525454,"Significant_001","Ybx1","4",119277327,119296265,NA,681626076,FALSE,-0.0475788941121909
"48","Tymp","15","trans",91688943,60.8310365530322,"Significant_001","Tymp","15",89371631,89377036,NA,2203061387,FALSE,-0.00537555073044248
"49","Ybx1__1","4","cis",119132506,60.6948500840998,"Significant_001","Ybx1","4",119277327,119296265,NA,677757381,FALSE,-0.0475788941121909
"50","Gsta3__2","1","cis",20297287,60.6623918239015,"Significant_001","Gsta3","1",21240565,21265575,NA,20297287,FALSE,0.0525960747939372
"51","Gsta3__2","1","trans",20199452,60.6623918172838,"Significant_001","Gsta3","1",21240565,21265575,NA,20199452,FALSE,0.0525960747939372
"52","Mrps36__1","13","cis",100612363,60.3643259725688,"Significant_001","Mrps36","13",100735940,100744659,NA,1952660924,FALSE,-0.148681409026709
"53","Cat__1","2","cis",103764377,59.789608492005,"Significant_001","Cat","2",103453904,103485153,NA,306236348,FALSE,-0.146559296189332
"54","Cat__1","2","trans",102113570,59.7883527537652,"Significant_001","Cat","2",103453904,103485153,NA,304585541,FALSE,-0.146559296189332
"55","H2-T23","17","cis",35892587,58.9309474079685,"Significant_001","H2-T23","17",36029977,36032701,NA,2363516484,FALSE,0.00417275828460039
"56","Tymp","15","cis",89075102,58.4020548099078,"Significant_001","Tymp","15",89371631,89377036,NA,2200447546,FALSE,-0.00537555073044248
"57","Agl__1","3","trans",117781373,58.2583356620562,"Significant_001","Agl","3",116739999,116808166,NA,509366568,FALSE,-0.253395731882989
"58","Ces1f__2","8","trans",91232878,58.1670222561324,"Significant_001","Ces1f","8",93256236,93279766,NA,1281378558,FALSE,0.0111516326917807
"59","Ces1f__2","8","cis",93100833,58.1658942627309,"Significant_001","Ces1f","8",93256236,93279766,NA,1283246513,FALSE,0.0111516326917807
"60","BC021614__1","19",NA,3279808,58.1612383706048,"Significant_001","BC021614",NA,NA,NA,NA,2530593615,FALSE,0.00441317556763671
"61","unknow_163","5",NA,121607378,57.8075200400292,"Significant_001","unknow_163",NA,NA,NA,NA,843740369,FALSE,-0.00590959237163677
"62","Ces1d__1","8","cis",93306895,57.6383424274772,"Significant_001","Ces1d","8",93166072,93197804,NA,1283452575,FALSE,-0.121248533142203
"63","Pon1__1","6","cis",5273068,57.2916810765906,"Significant_001","Pon1","6",5168090,5193987,NA,886240743,FALSE,-0.0515560989663484
"64","Fpgt","3","trans",153911658,57.2526787375807,"Significant_001","Fpgt","3",155084915,155093387,NA,545496853,FALSE,0.0987087517934003
"65","Ces1d__1","8","trans",91801872,57.2077485428608,"Significant_001","Ces1d","8",93166072,93197804,NA,1281947552,FALSE,-0.121248533142203
"66","Ddo","10","cis",41303087,56.9349918121974,"Significant_001","Ddo","10",40630011,40681847,NA,1499445090,FALSE,-0.0558679321667941
"67","Cpne3__1","4","trans",14502758,56.8938575357362,"Significant_001","Cpne3","4",19519252,19570108,NA,573127633,FALSE,-0.0298430901335807
"68","Akr1c12__1","13","cis",3361349,56.8441135890042,"Significant_001","Akr1c12","13",4268172,4279399,NA,1855409910,FALSE,-0.0795792314016485
"69","Acot6","12","cis",84374651,56.6758539539377,"Significant_001","Acot6","12",84100654,84109783,NA,1809294190,FALSE,-0.0422628900267624
"70","Eprs__1","1","cis",184727309,56.605958578189,"Significant_001","Eprs","1",185361417,185428360,NA,184727309,FALSE,0.00531933582084308
"71","Tjp1__2","7","cis",64872050,56.4920539934695,"Significant_001","Tjp1","7",65296165,65527850,NA,1102576271,FALSE,0.00735712629382128
"72","Hdhd3__1","4","cis",62523998,56.140098042591,"Significant_001","Hdhd3","4",62499054,62502200,NA,621148873,FALSE,-0.0599742816788583
"73","Tjp1__2","7","trans",63899897,56.058877040384,"Significant_001","Tjp1","7",65296165,65527850,NA,1101604118,FALSE,0.00735712629382128
"74","H2-Q6","17","cis",35664138,55.9223906908477,"Significant_001","H2-Q6","17",35424850,35430055,NA,2363288035,FALSE,-0.0404618440098293
"75","Hdhd3__1","4","trans",59806017,55.799965661093,"Significant_001","Hdhd3","4",62499054,62502200,NA,618430892,FALSE,-0.0599742816788583
"76","unknow_125","9",NA,78109087,55.7174900349251,"Significant_001","unknow_125",NA,NA,NA,NA,1404655980,FALSE,0.00246642915867361
"77","Nat8","6","trans",83743101,55.5823339892755,"Significant_001","Nat8","6",85830387,85836857,NA,964710776,FALSE,0.0211992731677771
"78","Nat8","6","cis",85133761,55.5823330406222,"Significant_001","Nat8","6",85830387,85836857,NA,966101436,FALSE,0.0211992731677771
"79","Ces2h","8","trans",106010933,55.4767542070464,"Significant_001","Ces2h","8",105000830,105020410,NA,1296156613,FALSE,-0.0275523325674052
"80","Crym","7","cis",119528523,55.2666521042983,"Significant_001","Crym","7",120186380,120201989,NA,1157232744,FALSE,-0.0592616625992749
"81","H2-Q6","17","trans",33747743,55.1052816742128,"Significant_001","H2-Q6","17",35424850,35430055,NA,2361371640,FALSE,-0.0404618440098293
"82","Them7","2","cis",104471276,55.0669043644327,"Significant_001","Them7","2",105224342,105379860,NA,306943247,FALSE,-0.107960997194201
"83","Crym","7","trans",118705525,54.9807210853228,"Significant_001","Crym","7",120186380,120201989,NA,1156409746,FALSE,-0.0592616625992749
"84","Mrps36__1","13","trans",99423015,54.9627466563223,"Significant_001","Mrps36","13",100735940,100744659,NA,1951471576,FALSE,-0.148681409026709
"85","Cyp2c39","19","trans",40720483,54.6108897317054,"Significant_001","Cyp2c39","19",39347346,39569568,NA,2568034290,FALSE,0.0799894223867629
"86","Them7","2","trans",106693736,54.5259667078682,"Significant_001","Them7","2",105224342,105379860,NA,309165707,FALSE,-0.107960997194201
"87","Ddo","10","trans",39511983,54.1370109468096,"Significant_001","Ddo","10",40630011,40681847,NA,1497653986,FALSE,-0.0558679321667941
"88","Isoc2b","7","trans",3620047,54.0092405578749,"Significant_001","Isoc2b","7",4844959,4866179,NA,1041324268,FALSE,0.0808274685433994
"89","Isoc2b","7","cis",4007987,54.0092405578749,"Significant_001","Isoc2b","7",4844959,4866179,NA,1041712208,FALSE,0.0808274685433994
"90","Ccdc141","2","cis",76370061,53.9822422074773,"Significant_001","Ccdc141","2",77009902,77173769,NA,278842032,FALSE,-0.148231581981326
"91","Ccdc141","2","trans",78926714,53.8548137506377,"Significant_001","Ccdc141","2",77009902,77173769,NA,281398685,FALSE,-0.148231581981326
"92","Numa1__1","7","trans",100159403,53.7894163818757,"Significant_001","Numa1","7",101933977,102014959,NA,1137863624,FALSE,-0.0699805355875512
"93","Numa1__1","7","cis",100937809,53.7894163818757,"Significant_001","Numa1","7",101933977,102014959,NA,1138642030,FALSE,-0.0699805355875512
"94","Parp3__1","9","cis",106215124,53.7599501483916,"Significant_001","Parp3","9",106470322,106476949,NA,1432762017,FALSE,-0.0826085017172934
"95","Nudt1","5","cis",140325100,53.6979423691403,"Significant_001","Nudt1","5",140321622,140338137,NA,862458091,FALSE,0.0388765377204684
"96","Prkag1__1","15","cis",98568260,53.5909657847914,"Significant_001","Prkag1","15",98812797,98831508,NA,2209940704,FALSE,0.124790072446965
"97","Prkag1__1","15","trans",96403956,53.5122788781137,"Significant_001","Prkag1","15",98812797,98831508,NA,2207776400,FALSE,0.124790072446965
"98","Mtus1__2","8","cis",40900093,53.2323941463627,"Significant_001","Mtus1","8",40990912,41133983,NA,1231045773,FALSE,0.0405091545259856
"99","Qprt__1","7","cis",127769901,52.9137596537559,"Significant_001","Qprt","7",127107770,127122029,NA,1165474122,FALSE,0.0893606256719438
"100","Gsta3__3","1","trans",23853450,52.7139964698862,"Significant_001","Gsta3","1",21240565,21265575,NA,23853450,FALSE,0.0525960747939372
"101","Gsta3__3","1","cis",20509040,52.7073312509971,"Significant_001","Gsta3","1",21240565,21265575,NA,20509040,FALSE,0.0525960747939372
